
Name,Description,Tags,Languages Supported,Eligibility Requirements,Service Area ZIP,Service Area City,Service Area County,Service Area State,Phone,Email,Address,Website
Legal Aid of Alameda County,"Free legal services for low‑income individuals including expungement, family law, and housing issues.",expungement; family law; housing law; free,EN; ES,Income below 125% of the federal poverty level.,94612,Oakland,Alameda,CA,(510) 555‑0127,help@legalaid-alameda.org,–,https://legalaid-alameda.org
Bay Area Housing Coalition,Provides rental assistance and housing navigation services for individuals transitioning from homelessness.,rental assistance; permanent housing; navigation,EN; ES,Must be chronically homeless or at risk; income below 50% Area Median Income.,94607,Oakland,Alameda,CA,(510) 555‑0123,intake@bayareahousing.org,"123 Housing St., Oakland CA",https://bayareahousing.org
Rubicon Programs – Center of Re‑Entry Excellence (CORE),"Offers free, integrated services for justice‑impacted individuals and families, including family support, financial planning, education and training, employment assistance, health and wellness, housing referrals, legal services, public benefits, coaching and peer support.",family services; financial planning; education and training; employment assistance; health services; housing referrals; legal services; public benefits; peer support,EN,Justice‑impacted individuals living in Alameda County or people in custody within six months of release.,94621,Oakland,Alameda,CA,800‑214‑9687 / 510‑346‑5290,–,"100 Hegenberger Rd., Oakland CA; satellite office 24100 Amador St., Hayward CA",https://rubiconprograms.org
East Oakland Community Project – Crossroads,"Provides emergency, transitional and permanent housing along with meals, healthcare, substance abuse treatment, mental health services, job training and life‑skills development for individuals experiencing homelessness, including formerly incarcerated persons and veterans.",emergency housing; transitional housing; permanent housing; meals; healthcare; mental health; substance abuse treatment; job training; life skills; veterans,EN,"Adults, families, seniors, veterans and formerly incarcerated individuals experiencing homelessness.",94621,Oakland,Alameda,CA,(510) 532‑3211,–,"7515 International Blvd., Oakland CA",https://www.eocp.net
Retraining The Village,"Transitional housing program for previously incarcerated men, veterans and individuals recovering from addiction; provides mental and behavioral health services, addiction recovery (Back to Basics), and job training.",transitional housing; veterans; addiction recovery; mental health; job training,EN,"Previously incarcerated men, veterans and individuals with substance‑use disorders.",94303,East Palo Alto,San Mateo,CA,650‑461‑0433,halleycrumb@retrainingthevillage.org,"2399 Menalto Ave., East Palo Alto CA; additional offices in Madera and other sites",https://retrainingthevillage.org
Root & Rebound – Reentry Legal Hotline,"Provides legal support to people impacted by the justice system through a weekly reentry legal hotline (Friday 9 am–3 pm), mobile legal clinics and workshops; offers advice on employment, housing, education and other reentry issues.",legal services; reentry rights; mobile clinics; workshops,EN,Open to justice‑impacted individuals and their families.,94128,San Francisco,San Francisco,CA,510‑279‑4662 (Hotline) / 1‑800‑207‑6992 (Mon–Thu),–,"P.O. Box 280680, San Francisco CA 94128",https://www.rootandrebound.org
East Bay Community Law Center – Clean Slate Program,"Provides free legal advice and representation to remove barriers to employment and civic participation for people with criminal records, covering post‑conviction remedies, employment/licensing, housing, immigration effects, and traffic/parking tickets.",expungement; employment law; housing law; immigration; traffic tickets; free,EN,Individuals with a conviction or legal issue in Alameda County and who meet income eligibility requirements.,94703,Berkeley,Alameda,CA,(510) 548‑4040,info@ebclc.org,"2921 Adeline Street & 2001 Center Street, Berkeley CA",https://ebclc.org
Men and Women of Purpose,"Provides mentorship, case management and reentry support to individuals transitioning from jail to the community; offers programs such as the Jail to Community program, California Community Reinvestment grant projects and West County mentoring.",mentoring; case management; reentry services; community reinvestment,EN,Formerly incarcerated individuals seeking support during reentry.,94804,Richmond,Contra Costa,CA,(510) 768‑8004,–,"120 Broadway, Suite 21, Richmond CA",https://menandwomenofpurpose.org
"Phatt Chance Community Services, Inc.","Offers safe, sober housing and reintegration support to formerly incarcerated individuals, veterans and people with mental health diagnoses; aims to prevent recidivism, substance abuse relapse and homelessness by encouraging employment and education.",sober housing; transitional housing; veterans; mental health; employment assistance,EN,"Formerly incarcerated men, veterans and people with mental health conditions.",94115,San Francisco,San Francisco,CA,(415) 822‑9922,phattchancecommunity@gmail.com,"2443 Fillmore St. #216, San Francisco CA 94115",https://phattchancecommunityservices.org
Jails to Jobs,"Non‑profit organization offering job‑search guidance and resources to ex‑offenders, including step‑by‑step job search plans and resume guidance.",job placement; job search; free,EN,Ex‑offenders seeking employment assistance.,–,Statewide,–,CA,–,–,–,https://jailstojobs.org
GEO Reentry Services,"Operates residential reentry centers offering temporary housing, cognitive behavioral treatment, substance abuse treatment, life skills and vocational training, GED preparation and aftercare to individuals transitioning from incarceration.",transitional housing; behavioral treatment; substance abuse; life skills; vocational training; GED preparation,EN,Individuals transitioning from incarceration and referred by corrections agencies.,–,Multiple locations,Multiple,CA,(561) 893‑0101,–,–,https://www.geogroup.com/reentry-services
Bay Area Legal Aid – Santa Clara Office,"Provides record improvement and reentry services, homelessness prevention, fair housing enforcement, domestic violence services, youth justice, economic justice, consumer law and healthcare access; offers a reentry referral process.",legal services; reentry; fair housing; domestic violence; youth justice; economic justice; healthcare access,Cantonese; Hindi; Mandarin; Spanish; Vietnamese,"Income and asset eligibility requirements apply, with exceptions for certain cases.",95113,San Jose,Santa Clara,CA,(408) 283‑3700,–,"4 N. Second St., Suite 600, San Jose CA 95113",https://baylegal.org
Sacramento Community Based Coalition (SCBC) – Sacramento County Office of Education,"Offers reentry programs including domestic violence classes, academic preparation, career readiness, cognitive behavior therapy, employment preparation, housing assistance and life‑skills classes for parolees living in Sacramento, Yolo, Yuba and Placer counties. Clients are referred by a supervising agent.",domestic violence classes; academic preparation; career readiness; cognitive behavior therapy; employment preparation; housing assistance; life skills,EN,"Parolees living in Sacramento, Yolo, Yuba or Placer counties referred by parole/probation.",95655,Mather,Sacramento,CA,(916) 228‑3377,–,"10170 Missile Way, Mather CA 95655",https://scoe.net/reentry
